Country_of_Operator,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Site,Launch_Mass_kg,Inclination_radians
Israel,Military/Commercial,Communications,GEO,,35633.0,35796.0,0.00194,1432.0,Baikonur Cosmodrome,,0.000174533
Israel,Military/Commercial,Communications,GEO,,35595.0,36007.0,0.00488,1436.08,Baikonur Cosmodrome,1600.0,0.001570796
USA,Civil,Amateur Radio,LEO,Sun-Synchronous,1440.0,1459.0,0.00121,114.9,Vandenberg AFB,29.0,1.769763862
Canada,Commercial,Communications,GEO,,35778.0,35793.0,0.00018,1436.08,Guiana Space Center,4710.0,0.000349066
Canada,Commercial,Communications,GEO,,35777.0,35795.0,0.00021,1436.1,Baikonur Cosmodrome,4500.0,0.000349066
Canada,Commercial,Communications,GEO,,35781.0,35790.0,0.00011,1436.08,Guiana Space Center,5910.0,0.000174533
Canada,Commercial,Communications,GEO,,35778.0,35794.0,0.00019,1436.1,Baikonur Cosmodrome,4715.0,0.000174533
Canada,Commercial,Communications,GEO,,35773.0,35799.0,0.00031,1436.08,Baikonur Cosmodrome,4905.0,0.000174533
Argentina,Commercial,Communications (experimental),LEO,Sun-Synchronous,696.0,764.0,0.00479,99.4,Baikonur Cosmodrome,12.0,1.710422667
Argentina,Commercial,Communications (experimental),LEO,Sun-Synchronous,694.0,850.0,0.01092,100.3,Baikonur Cosmodrome,12.0,1.713913325
USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,563.0,572.0,0.00065,97.0,Baikonur Cosmodrome,12.0,1.712167996
USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,604.0,674.0,0.00499,97.5,Baikonur Cosmodrome,12.0,1.712167996
USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,610.0,694.0,0.00598,97.8,Dombarovsky Launch Facility,12.0,1.713913325
USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,627.0,694.0,0.00476,98.0,Dombarovsky Launch Facility,12.0,1.713913325
USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,594.0,653.0,0.00422,97.17,Dombarovsky Launch Facility,12.0,1.706932008
USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,594.0,669.0,0.00536,97.99,Dombarovsky Launch Facility,12.0,1.706932008
China (PR),Commercial,Communications,GEO,,35782.0,35795.0,0.00015,1436.21,Xichang Satellite Launch Center,1383.0,0.113446401
China (PR),Commercial,Communications,GEO,,35779.0,35790.0,0.00013,1436.03,Xichang Satellite Launch Center,1383.0,0.102799893
China (PR),Commercial,Communications,GEO,,35778.0,35794.0,0.00019,1436.08,Xichang Satellite Launch Center,4680.0,0.000174533
China (PR),Commercial,Communications,GEO,,35864.0,35874.0,0.00012,1440.31,Xichang Satellite Launch Center,5054.0,0.000523599
Multinational,Government,Communications,GEO,,35766.0,35805.0,0.00046,1436.06,Guiana Space Center,4630.0,0.001047198
Multinational,Commercial,Communications,GEO,,35778.0,35794.0,0.00019,1436.09,Baikonur Cosmodrome,3600.0,0.000174533
USA,Commercial,Technology Development,LEO,Sun-Synchronous,410.0,415.0,0.00019,92.81,ISS,1.0,0.901462559
ESA,Commercial/Government,Communications/Research,GEO,,35771.0,35803.0,0.00038,1436.12,Guiana Space Center,3105.0,0.122696646
China (PR),Commercial,Communications,GEO,,35780.0,35792.0,0.00014,1436.07,Baikonur Cosmodrome,3480.0,0.000349066
China (PR),Commercial,Communications,GEO,,35784.0,35789.0,6e-05,1436.1,Cape Canaveral,4137.0,0.0
China (PR),Commercial,Communications,GEO,,35778.0,35795.0,0.0002,1436.11,Baikonur Cosmodrome,3760.0,0.0
China (PR),Commercial,Communications,GEO,,35782.0,35793.0,0.00013,1436.17,Baikonur Cosmodrome,3813.0,0.000349066
USA,Commercial,Communications,GEO,,35773.0,35801.0,0.00033,1436.15,Guiana Space Center,2775.0,0.000349066
Luxembourg,Commercial,Communications,GEO,,35776.0,35795.0,0.00023,1436.08,Guiana Space Center,2924.0,0.020071286
Luxembourg,Commercial,Communications,GEO,,35774.0,35799.0,0.0003,1436.13,Guiana Space Center,3014.0,0.000698132
Luxembourg,Commercial,Communications,GEO,,35778.0,35797.0,0.00023,1436.15,Baikonur Cosmodrome,3010.0,0.000523599
Luxembourg,Commercial,Communications,GEO,,35780.0,35791.0,0.00013,1436.08,Baikonur Cosmodrome,3379.0,0.000698132
Luxembourg,Commercial,Communications,GEO,,35776.0,35794.0,0.00021,1436.04,Baikonur Cosmodrome,3690.0,0.001047198
Luxembourg,Commercial,Communications,GEO,,35766.0,35807.0,0.00049,1436.1,Cape Canaveral,4332.0,0.001396263
Luxembourg,Commercial,Communications,GEO,,35772.0,35798.0,0.00031,1436.03,Guiana Space Center,4500.0,0.000872665
Luxembourg,Commercial,Communications,GEO,,35804.0,35852.0,0.00057,1438.2,Baikonur Cosmodrome,5345.0,0.002443461
Luxembourg,Commercial,Communications,GEO,,35715.0,35780.0,0.00077,1434.1,Guiana Space Center,5350.0,0.002094395
Luxembourg,Commercial,Communications,GEO,,35776.0,35797.0,0.00025,1436.12,Baikonur Cosmodrome,3635.0,0.001396263
Luxembourg,Commercial,Communications,GEO,,35772.0,35801.0,0.00034,1436.11,Guiana Space Center,3315.0,0.00122173
Luxembourg,Commercial,Communications,GEO,,35768.0,35804.0,0.00043,1436.12,Baikonur Cosmodrome,3643.0,0.00122173
Luxembourg,Commercial,Communications,GEO,,35770.0,35802.0,0.00038,1436.1,Guiana Space Center,1420.0,0.00122173
Luxembourg,Commercial,Communications,GEO,,35781.0,35793.0,0.00014,1436.12,Baikonur Cosmodrome,6052.0,0.001919862
Luxembourg,Commercial,Communications,GEO,,35777.0,35795.0,0.00021,1436.07,Guiana Space Center,6000.0,0.001047198
Luxembourg,Commercial,Communications,GEO,,35770.0,35804.0,0.0004,1436.07,Guiana Space Center,1500.0,0.001047198
Luxembourg,Commercial,Communications,GEO,,35768.0,35806.0,0.00045,1436.11,Guiana Space Center,5471.0,0.001396263
