Country_of_Operator,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Site,Launch_Mass_kg,Inclination_radians
USA,Military,Early Warning,GEO,,35765.0,35810.0,0.00053,1436.14,Cape Canaveral,2380.0,0.064228116
USA,Military,Early Warning,GEO,,35741.0,35832.0,0.00108,1436.12,Cape Canaveral,2380.0,0.024609142
UAE,Government,Earth Observation,LEO,Sun-Synchronous,662.0,680.0,0.00128,98.2,Baikonur Cosmodrome,200.0,1.710422667
UAE,Government,Earth Observation,LEO,Sun-Synchronous,585.0,603.0,0.00129,96.56,Dombarovsky Launch Facility,300.0,1.706932008
USA,Civil,Technology Development,LEO,Sun-Synchronous,596.0,639.0,0.00308,97.0,Dombarovsky Launch Facility,2.0,1.706932008
Mexico,Commercial,Communications,GEO,,35776.0,35795.0,0.00023,1436.07,Xichang Satellite Launch Center,3287.0,0.000174533
USA,Commercial,Communications,GEO,,35780.0,35792.0,0.00014,1436.0,Sea Launch,4333.0,0.001047198
USA,Commercial,Communications,GEO,,35778.0,35793.0,0.00018,1436.1,Sea Launch,5500.0,0.000523599
USA,Commercial,Communications,GEO,,35782.0,35791.0,0.00011,1436.11,Cape Canaveral,4328.0,0.001047198
USA,Commercial,Communications,GEO,,35785.0,35789.0,5e-05,1436.11,Baikonur Cosmodrome,6384.0,0.000872665
USA,Commercial,Communications,GEO,,35789.0,35803.0,0.00017,1436.57,Baikonur Cosmodrome,5521.0,0.00122173
USA,Commercial,Communications,GEO,,35776.0,35796.0,0.00024,1436.06,Baikonur Cosmodrome,6658.0,0.000872665
USA,Commercial,Communications,GEO,,35781.0,35794.0,0.00015,1436.13,Guiana Space Center,6100.0,0.000174533
USA,Commercial,Communications,GEO,,35783.0,35790.0,8e-05,1436.11,Cape Canaveral,3674.0,0.000349066
USA,Commercial,Communications,GEO,,35775.0,35798.0,0.00027,1436.12,Cape Canaveral,3700.0,0.00122173
USA,Commercial,Communications,GEO,,35782.0,35789.0,8e-05,1436.07,Cape Canaveral,4027.0,0.000174533
USA,Commercial,Communications,GEO,,35783.0,35789.0,7e-05,1436.1,Baikonur Cosmodrome,4660.0,0.000174533
USA,Commercial,Communications,GEO,,35775.0,35797.0,0.00026,1436.08,Sea Launch,4000.0,0.000174533
USA,Commercial,Communications,GEO,,35773.0,35799.0,0.00031,1436.1,Cape Canaveral,6600.0,0.100007366
Italy,Civil,Technology Development,LEO,Sun-Synchronous,639.0,694.0,0.00391,98.1,Dombarovsky Launch Facility,10.0,1.713913325
Russia,Government,Meteorology,GEO,,35323.0,35750.0,0.00509,1423.35,Baikonur Cosmodrome,1766.0,0.008028515
France,Military,Electronic Intelligence/Technology Development,LEO,Polar,675.0,692.0,0.00121,98.43,Guiana Space Center,120.0,1.714087858
France,Military,Electronic Intelligence/Technology Development,LEO,Polar,677.0,692.0,0.00106,98.46,Guiana Space Center,120.0,1.714087858
France,Military,Electronic Intelligence/Technology Development,LEO,Polar,675.0,692.0,0.00121,98.43,Guiana Space Center,120.0,1.714087858
France,Military,Electronic Intelligence/Technology Development,LEO,Polar,677.0,692.0,0.00106,98.45,Guiana Space Center,120.0,1.714087858
USA,Government,Earth Observation/Research,LEO,Sun-Synchronous,678.0,690.0,0.00085,98.4,Vandenberg AFB,572.0,1.712167996
USA/Canada/Japan,Government,Earth Science,LEO,Sun-Synchronous,702.0,703.0,7e-05,98.8,Vandenberg AFB,4854.0,1.713913325
USA,Government,Remote Sensing,LEO,Sun-Synchronous,702.0,703.0,7e-05,98.8,Vandenberg AFB,2967.0,1.713913325
USA/Japan/Brazil,Government,Earth Observation,LEO,Sun-Synchronous,701.0,704.0,0.00021,98.8,Vandenberg AFB,2934.0,1.713913325
Israel,Military/Commercial,Remote Sensing,LEO,Sun-Synchronous,530.0,547.0,0.00123,95.4,Svobodny Cosmodrome,240.0,1.70344135
Israel,Military/Commercial,Remote Sensing,LEO,Sun-Synchronous,508.0,514.0,0.00044,94.8,Svobodny Cosmodrome,350.0,1.699950691
Italy,Civil,Technology Development,Elliptical,,306.0,1313.0,0.07013,101.08,Guiana Space Center,,1.212654764
Estonia,Civil,Technology Development,LEO,Sun-Synchronous,658.0,671.0,0.00092,98.03,Guiana Space Center,1.0,1.712691595
Turkey/France,Commercial,Communications,GEO,,35761.0,35810.0,0.00058,1436.06,Guiana Space Center,3535.0,0.000349066
Multinational,Commercial,Communications,GEO,,35776.0,35796.0,0.00024,1436.09,Guiana Space Center,4167.0,0.0
Multinational,Commercial,Communications,GEO,,35781.0,35822.0,0.00049,1436.09,Baikonur Cosmodrome,5900.0,0.000523599
Multinational,Commercial,Communications,GEO,,35768.0,35805.0,0.00044,1436.1,Guiana Space Center,2700.0,0.001919862
Multinational,Commercial,Communications,GEO,,35779.0,35795.0,0.00019,1436.12,Xichang Satellite Launch Center,5400.0,0.003490659
Multinational,Commercial,Communications,GEO,,35762.0,35810.0,0.00057,1436.1,Guiana Space Center,2885.0,0.000349066
Multinational,Commercial,Communications,GEO,,35754.0,35817.0,0.00075,1436.06,Baikonur Cosmodrome,2500.0,0.00122173
Multinational,Commercial,Communications,GEO,,35772.0,35799.0,0.00032,1436.1,Baikonur Cosmodrome,5000.0,0.000174533
Multinational,Commercial,Communications,GEO,,35770.0,35802.0,0.00038,1436.09,Guiana Space Center,2490.0,0.00122173
Multinational,Commercial,Communications,GEO,,35725.0,35767.0,0.0005,1434.03,Guiana Space Center,,0.001396263
Multinational,Commercial,Communications,GEO,,35780.0,35790.0,0.00012,1436.04,Cape Canaveral,3170.0,0.000349066
Multinational,Commercial,Communications,GEO,,35788.0,35794.0,7e-05,1436.1,Guiana Space Center,2950.0,0.00122173
Multinational,Commercial,Communications,GEO,,35781.0,35790.0,0.00011,1436.06,Guiana Space Center,1525.0,0.000872665
Multinational,Commercial,Communications,GEO,,35766.0,35806.0,0.00047,1436.08,Cape Canaveral,3190.0,0.00122173
Multinational,Commercial,Communications,GEO,,35786.0,35787.0,1e-05,1436.09,Baikonur Cosmodrome,5600.0,0.00122173
Multinational,Commercial,Communications,GEO,,35778.0,35793.0,0.00018,1436.08,Xichang Satellite Launch Center,2200.0,0.000174533
Multinational,Commercial,Communications,GEO,,35766.0,35806.0,0.00047,1436.07,Guiana Space Center,4892.0,0.001047198
Multinational,Commercial,Communications,GEO,,35784.0,35794.0,0.00012,1436.21,Baikonur Cosmodrome,5404.0,0.000523599
Multinational,Commercial,Communications,GEO,,35757.0,35815.0,0.00069,1436.07,Cape Canaveral,2915.0,0.001396263
Multinational,Commercial,Communications,GEO,,35777.0,35797.0,0.00024,1436.12,Guiana Space Center,5102.0,0.001570796
Multinational,Commercial,Communications,GEO,,35769.0,35805.0,0.00043,1436.08,Guiana Space Center,4050.0,0.000698132
Multinational,Commercial,Communications,GEO,,35774.0,35799.0,0.0003,1436.09,Sea Launch (Odyssey),4600.0,0.001047198
Multinational,Commercial,Communications,GEO,,35780.0,35800.0,0.00024,1436.28,Sea Launch (Odyssey),5250.0,0.001047198
Multinational,Commercial,Communications,GEO,,35769.0,35802.0,0.00039,1436.07,Baikonur Cosmodrome,4300.0,0.001047198
Multinational,Commercial,Communications,GEO,,35766.0,35806.0,0.00047,1436.1,Guiana Space Center,3150.0,0.001047198
Multinational,Commercial,Communications,GEO,,35775.0,35799.0,0.00028,1436.1,Guiana Space Center,4100.0,0.00122173
Multinational,Commercial,Communications,GEO,,35756.0,35815.0,0.0007,1436.06,Cape Canaveral,3800.0,0.001570796
Multinational,Commercial,Communications,GEO,,35759.0,35812.0,0.00063,1436.06,Baikonur Cosmodrome,4900.0,0.000349066
Multinational,Commercial,Communications,GEO,,35786.0,35787.0,1e-05,1436.09,Guiana Space Center,4880.0,0.001047198
Multinational,Commercial,Communications,GEO,,35714.0,35856.0,0.00168,1436.01,Baikonur Cosmodrome,6150.0,0.002268928
Canada,Commercial,Maritime Tracking,LEO,Sun-Synchronous,806.0,821.0,0.00104,101.2,Baikonur Cosmodrome,100.0,1.727875959
Russia/Multinational,Commercial,Communications,GEO,,35781.0,35790.0,0.00011,1436.06,Baikonur Cosmodrome,2600.0,0.000349066
Russia,Commercial,Communications,GEO,,35783.0,35790.0,8e-05,1436.11,Baikonur Cosmodrome,2600.0,0.047996554
Russia,Commercial,Communications,GEO,,35774.0,35798.0,0.00028,1436.1,Baikonur Cosmodrome,2600.0,0.000349066
Russia,Commercial,Communications,GEO,,35785.0,35788.0,4e-05,1436.1,Baikonur Cosmodrome,2542.0,0.000698132
Russia,Commercial,Communications,GEO,,35777.0,35795.0,0.00021,1436.1,Baikonur Cosmodrome,2600.0,0.001570796
Russia,Commercial,Communications,GEO,,35782.0,35791.0,0.00011,1436.1,Baikonur Cosmodrome,2600.0,0.000872665
Russia,Commercial,Communications,GEO,,35987.0,35995.0,9e-05,1446.57,Baikonur Cosmodrome,2532.0,0.001919862
Russia,Commercial,Communications,GEO,,35420.0,35940.0,0.00618,1430.6,Baikonur Cosmodrome,3400.0,0.001396263
USA,Civil/Military,Technology Development,LEO,,538.0,540.0,0.00014,95.4,Cape Canaveral,46.0,0.617846555
USA,Civil,Technology Development,LEO,Sun-Synchronous,627.0,654.0,0.00193,97.54,Kodiak Launch Complex,55.0,1.256113463
China (PR),Government,Technology Development,LEO,,488.0,500.0,0.00087,94.49,Taiyuan Launch Center,,1.699078027
China (PR),Government,Technology Development,LEO,,488.0,500.0,0.00087,94.49,Taiyuan Launch Center,,1.699078027
China (PR),Government,Earth Science,GEO,,35777.0,35791.0,0.00017,1436.0,Xichang Satellite Launch Center,1390.0,0.013439035
China (PR),Government,Earth Science,GEO,,35767.0,35803.0,0.00043,1436.04,Xichang Satellite Launch Center,1390.0,0.045553093
China (PR),Government,Earth Science,GEO,,35760.0,35816.0,0.00066,1436.19,Xichang Satellite Launch Center,1390.0,0.038222711
China (PR),Government,Earth Science,LEO,Sun-Synchronous,820.0,835.0,0.00104,101.5,Taiyuan Launch Center,2300.0,1.720894642
China (PR),Government,Earth Science,LEO,Sun-Synchronous,827.0,828.0,7e-05,101.5,Taiyuan Launch Center,2300.0,1.724385301
China (PR),Government,Earth Science,LEO,,827.0,828.0,7e-05,101.45,Taiyuan Launch Center,2300.0,1.724559834
USA,Government,Astrophysics,LEO,,537.0,556.0,0.00137,95.6,Cape Canaveral,4303.0,0.446804289
USA,Military,Reconnaissance,LEO,,1101.0,1107.0,0.0004,107.35,Vandenberg AFB,,2.146580447
USA,Military,Reconnaissance,LEO,,1068.0,1107.0,0.00261,107.0,Vandenberg AFB,,2.14675498
USA,Military,Reconnaissance,LEO,,1066.0,1081.0,0.00101,106.7,Vandenberg AFB,,2.14675498
USA,Civil/Government,Space Science,LEO,,443.0,886.0,0.03149,98.0,Vandenberg AFB,2.0,2.09963109
USA,Civil/Government,Space Science,LEO,,443.0,886.0,0.03149,98.0,Vandenberg AFB,2.0,2.09963109
USA,Government/Civil,Earth Science,LEO,,500.0,506.0,0.00044,94.68,Wallops Island Flight Facility,3.0,0.70703288
USA,Military,Communications,GEO,,35745.0,35829.0,0.001,1436.13,Cape Canaveral,2310.0,0.156556034
Taiwan,Government/Military,Remote Sensing,LEO,Sun-Synchronous,890.0,893.0,0.00021,102.8,Vandenberg AFB,764.0,1.727875959
USA,Government,Earth Observation,LEO,Intermediate,790.0,823.0,0.0023,101.0,Vandenberg AFB,215.0,1.221730476
Netherlands,Civil,Communications,LEO,,594.0,683.0,0.00635,97.4,Dombarovsky Launch Facility,1.0,1.706932008
USA,Commercial,Communications,GEO,,35785.0,35795.0,0.00012,1436.11,Guiana Space Center,4488.0,0.000872665
USA,Commercial,Communications,GEO,,35775.0,35796.0,0.00025,1436.07,Guiana Space Center,1760.0,0.000872665
USA/Japan,Commercial,Communications,GEO,,35781.0,35790.0,0.00011,1436.07,Sea Launch (Odyssey),4060.0,0.000174533
USA,Commercial,Communications,GEO,,35776.0,35795.0,0.00023,1436.07,Baikonur Cosmodrome,2086.0,0.000174533
USA,Commercial,Communications,GEO,,35776.0,35795.0,0.00023,1436.07,Guiana Space Center,2033.0,0.001047198
USA,Commercial,Communications,GEO,,35775.0,35798.0,0.00027,1436.1,Sea Launch (Odyssey),4640.0,0.000174533
USA,Commercial,Communications,GEO,,35774.0,35799.0,0.0003,1436.1,Guiana Space Center,4100.0,0.000349066
USA,Commercial,Communications,GEO,,35774.0,35798.0,0.00028,1436.1,Sea Launch (Odyssey),4642.0,0.000349066
USA,Commercial,Communications,GEO,,35776.0,35796.0,0.00024,1436.1,Sea Launch (Odyssey),4690.0,0.000872665
USA,Commercial,Communications,GEO,,35771.0,35801.0,0.00036,1436.08,Baikonur Cosmodrome,3515.0,0.000523599
USA,Commercial,Communications,GEO,,35778.0,35795.0,0.0002,1436.11,Baikonur Cosmodrome,3765.0,0.000174533
USA,Commercial,Communications,GEO,,35776.0,35794.0,0.00021,1436.06,Guiana Space Center,3790.0,0.0
USA,Commercial,Communications,GEO,,35775.0,35798.0,0.00027,1436.1,Sea Launch (Odyssey),5493.0,0.000174533
USA,Commercial,Communications,GEO,,35784.0,35788.0,5e-05,1436.11,Sea Launch (Odyssey),4860.0,0.000174533
ESA,Commerical,Navigation/Global Positioning,MEO,,23242.0,23307.0,0.0011,846.98,Guiana Space Center,700.0,0.954171502
ESA,Commercial,Navigation/Global Positioning,MEO,,23240.0,23306.0,0.00111,846.88,Guiana Space Center,700.0,0.954346035
ESA,Commercial,Navigation/Global Positioning,MEO,,23214.0,23233.0,0.00032,844.76,Guiana Space Center,700.0,0.965865208
ESA,Commercial,Navigation/Global Positioning,MEO,,23217.0,23227.0,0.00017,844.69,Guiana Space Center,700.0,0.965167076
China (PR),Government,Remote Sensing,LEO,,630.0,654.0,0.00171,97.56,Jiuquan Satellite Launch Center,1000.0,1.711644397
Russia,Military,Communications,GEO,,35782.0,35790.0,9e-05,1436.1,Baikonur Cosmodrome,5000.0,0.001570796
Indonesia/Philippines/Thailand,Commercial,Communications,GEO,,35774.0,35801.0,0.00032,1436.16,Baikonur Cosmodrome,4291.0,0.021293017
Denmark,Commercial,Technology Development,LEO,Sun-Synchronous,593.0,819.0,0.01597,98.9,Dombarovsky Launch Facility,3.0,1.705186679
USA,Commercial,Technology Development,LEO,,522.0,569.0,0.0034,95.6,Dombarovsky Launch Facility,1360.0,1.125737368
USA,Commercial,Technology Development,LEO,,508.0,586.0,0.00564,95.6,Yasny Cosmodrome,1360.0,1.125737368
USA,Commercial/Government,Remote Sensing,LEO,Sun-Synchronous,671.0,686.0,0.00106,98.3,Vandenberg AFB,1955.0,1.712167996
Multinational,Government,Space Physics,Elliptical,Deep Highly Eccentric,3905.0,104552.0,0.83044,2474.83,Cape Canaveral,980.0,0.389208423
USA/Japan,Government,Earth Science,LEO,Sun-Synchronous,701.0,704.0,0.00021,98.8,Tanegashima Space Center,1900.0,1.713913325
USA,Commercial,Communications,LEO,Intermediate,1407.0,1412.0,0.00032,114.0,Cape Canaveral,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1413.0,1415.0,0.00013,114.1,Cape Canaveral,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1406.0,1422.0,0.00103,114.1,Baikonur Cosmodrome,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1412.0,1415.0,0.00019,114.1,Cape Canaveral,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1412.0,1415.0,0.00019,114.1,Cape Canaveral,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1412.0,1416.0,0.00026,114.1,Cape Canaveral,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,900.0,1413.0,0.03408,114.1,Baikonur Cosmodrome,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1477.0,1478.0,6e-05,114.1,Baikonur Cosmodrome,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1411.0,1417.0,0.00039,114.1,Baikonur Cosmodrome,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1411.0,1416.0,0.00032,114.1,Baikonur Cosmodrome,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1415.0,1416.0,6e-05,114.1,Baikonur Cosmodrome,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1412.0,1415.0,0.00019,114.1,Cape Canaveral,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1413.0,1414.0,6e-05,114.1,Baikonur Cosmodrome,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1413.0,1415.0,0.00013,114.1,Baikonur Cosmodrome,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1413.0,1414.0,6e-05,114.1,Cape Canaveral,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1411.0,1416.0,0.00032,114.1,Baikonur Cosmodrome,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1412.0,1415.0,0.00019,114.1,Baikonur Cosmodrome,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1413.0,1414.0,6e-05,114.1,Baikonur Cosmodrome,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1411.0,1414.0,0.00019,114.0,Baikonur Cosmodrome,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1411.0,1416.0,0.00032,114.1,Baikonur Cosmodrome,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1412.0,1415.0,0.00019,114.1,Baikonur Cosmodrome,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1412.0,1415.0,0.00019,114.1,Baikonur Cosmodrome,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1412.0,1416.0,0.00026,114.1,Baikonur Cosmodrome,450.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1413.0,1414.0,6e-05,114.1,Baikonur Cosmodrome,700.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1413.0,1415.0,0.00013,114.1,Baikonur Cosmodrome,700.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1413.0,1415.0,0.00013,114.1,Baikonur Cosmodrome,700.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1412.0,1415.0,0.00019,114.1,Baikonur Cosmodrome,700.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1413.0,1414.0,6e-05,114.1,Baikonur Cosmodrome,700.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1412.0,1415.0,0.00019,114.08,Baikonur Cosmodrome,700.0,0.907396678
USA,Commercial,Communications,LEO,Intermediate,1413.0,1414.0,6e-05,114.1,Baikonur Cosmodrome,700.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1413.0,1414.0,6e-05,114.1,Baikonur Cosmodrome,700.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1412.0,1415.0,0.00019,114.1,Baikonur Cosmodrome,700.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1413.0,1414.0,6e-05,114.1,Baikonur Cosmodrome,700.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1413.0,1414.0,6e-05,114.1,Baikonur Cosmodrome,700.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1413.0,1414.0,6e-05,114.1,Baikonur Cosmodrome,700.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1413.0,1415.0,0.00013,114.1,Baikonur Cosmodrome,700.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1413.0,1414.0,6e-05,114.1,Baikonur Cosmodrome,700.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1412.0,1415.0,0.00019,114.1,Baikonur Cosmodrome,700.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1459.0,1739.0,0.01757,118.2,Baikonur Cosmodrome,700.0,1.291543646
USA,Commercial,Communications,LEO,Intermediate,1413.0,1414.0,6e-05,114.1,Baikonur Cosmodrome,700.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1413.0,1415.0,0.00013,114.1,Baikonur Cosmodrome,700.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1413.0,1414.0,6e-05,114.1,Baikonur Cosmodrome,700.0,0.907571211
USA,Commercial,Communications,LEO,Intermediate,1360.0,1400.0,0.00258,113.35,Baikonur Cosmodrome,700.0,0.907222145
USA,Commercial,Communications,LEO,Intermediate,915.0,927.0,0.00082,103.44,Baikonur Cosmodrome,700.0,0.907745744
USA,Commercial,Communications,LEO,Intermediate,1409.0,1418.0,0.00058,114.08,Baikonur Cosmodrome,700.0,0.907222145
USA,Commercial,Communications,LEO,Intermediate,918.0,928.0,0.00069,103.48,Baikonur Cosmodrome,700.0,0.907745744
USA,Commercial,Communications,LEO,Intermediate,1370.0,1391.0,0.00135,113.96,Baikonur Cosmodrome,700.0,0.907745744
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19116.0,19146.0,0.00059,675.78,Plesetsk Cosmodrome,935.0,1.130449757
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19134.0,19141.0,0.00014,676.1,Baikonur Cosmodrome,1480.0,1.130973355
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19118.0,19125.0,0.00014,675.39,Baikonur Cosmodrome,1480.0,1.130973355
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19130.0,19130.0,0.0,675.75,Baikonur Cosmodrome,1480.0,1.130973355
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19130.0,19130.0,0.0,675.75,Baikonur Cosmodrome,1480.0,1.130973355
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19130.0,19130.0,0.0,675.75,Baikonur Cosmodrome,1480.0,1.130973355
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19094.0,19171.0,0.00151,675.83,Baikonur Cosmodrome,1480.0,1.132718685
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19124.0,19133.0,0.00018,675.67,Baikonur Cosmodrome,1480.0,1.132718685
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19142.0,19378.0,0.0046,680.91,Baikonur Cosmodrome,1480.0,1.128529894
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,18981.0,19126.0,0.00285,672.7,Baikonur Cosmodrome,1480.0,1.128355361
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19147.0,19365.0,0.00425,680.75,Baikonur Cosmodrome,1480.0,1.128704427
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19092.0,19141.0,0.00096,675.2,Baikonur Cosmodrome,1480.0,1.130798822
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19134.0,19145.0,0.00022,676.1,Baikonur Cosmodrome,1480.0,1.130798822
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19136.0,19141.0,0.0001,676.07,Baikonur Cosmodrome,1480.0,1.131322421
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19112.0,19142.0,0.00059,675.62,Baikonur Cosmodrome,1415.0,1.131496954
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,18922.0,19135.0,0.00419,671.71,Baikonur Cosmodrome,1415.0,1.130798822
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19132.0,19419.0,0.0056,681.53,Baikonur Cosmodrome,1415.0,1.131147888
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19119.0,19146.0,0.00053,675.85,Baikonur Cosmodrome,1415.0,1.130275224
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19131.0,19133.0,4e-05,675.81,Baikonur Cosmodrome,1415.0,1.130449757
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,18864.0,19130.0,0.00524,670.47,Baikonur Cosmodrome,1415.0,1.130624289
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19098.0,19129.0,0.00061,675.08,Baikonur Cosmodrome,1415.0,1.130973355
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19128.0,19135.0,0.00014,675.81,Baikonur Cosmodrome,1415.0,1.130449757
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,18909.0,19123.0,0.00421,671.2,Baikonur Cosmodrome,1415.0,1.131322421
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19116.0,19380.0,0.00515,680.43,Baikonur Cosmodrome,1415.0,1.131671487
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19079.0,19175.0,0.00188,675.61,Baikonur Cosmodrome,1415.0,1.131671487
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19126.0,19158.0,0.00063,676.2,Plesetsk Cosmodrome,1415.0,1.131322421
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19142.0,19204.0,0.00121,677.46,Baikonur Cosmodrome,1415.0,1.130973355
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19150.0,19199.0,0.00096,677.5,Baikonur Cosmodrome,1415.0,1.130973355
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19139.0,19212.0,0.00143,677.54,Baikonur Cosmodrome,1415.0,1.130624289
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19130.0,19162.0,0.00063,676.38,Plesetsk Cosmodrome,1415.0,1.131322421
Russia,Military/Commercial,Navigation/Global Positioning,MEO,,19087.0,19173.0,0.00169,675.73,Plesetsk Cosmodrome,1415.0,1.130449757
USA,Government,Earth Science/Meteorology,GEO,,35768.0,35801.0,0.00039,1436.0,Cape Canaveral,3200.0,0.004886922
USA,Government,Earth Science/Meteorology,GEO,,35170.0,35170.0,0.0,1436.0,Cape Canaveral,3200.0,0.0
USA,Government,Earth Science/Meteorology,GEO,,35786.0,35788.0,2e-05,1436.14,Cape Canaveral,3175.0,0.007330383
USA,Civil,Communications,GEO,,35772.0,35800.0,0.00033,1436.08,Cape Canaveral,627.0,0.249582083
Turkey,Military,Earth Observation,LEO,Sun-Synchronous,669.0,690.0,0.00149,98.35,Jiuquan Satellite Launch Center,409.0,1.713215194
Russia,Commercial/Government/Government,Communications,LEO,Intermediate,1398.0,1415.0,0.00109,113.9,Plesetsk Cosmodrome,240.0,1.441641962
Russia,Commercial/Government,Communications,LEO,Intermediate,1405.0,1415.0,0.00064,114.0,Plesetsk Cosmodrome,240.0,1.441641962
Russia,Commercial/Government,Communications,LEO,Intermediate,1408.0,1417.0,0.00058,114.0,Plesetsk Cosmodrome,240.0,1.441641962
Russia,Commercial/Government,Communications,LEO,Intermediate,1497.0,1510.0,0.00083,116.1,Plesetsk Cosmodrome,270.0,1.439896633
Russia,Commercial/Government,Communications,LEO,Intermediate,1478.0,1510.0,0.00203,115.9,Plesetsk Cosmodrome,270.0,1.439896633
Russia,Commercial/Government,Communications,LEO,,1482.0,1507.0,0.00159,115.86,Plesetsk Cosmodrome,270.0,1.4397221
Russia,Commercial/Government,Communications,LEO,Intermediate,1480.0,1511.0,0.00197,115.9,Plesetsk Cosmodrome,270.0,1.439896633
Russia,Commercial/Government,Communications,LEO,,1493.0,1508.0,0.00095,116.0,Plesetsk Cosmodrome,270.0,1.4397221
Russia,Commercial/Government,Communications,LEO,,1494.0,1509.0,0.00095,116.02,Plesetsk Cosmodrome,270.0,1.614255025
Germany/USA,Civil,Earth Science,LEO,Polar,435.0,450.0,0.0011,93.4,Plesetsk Cosmodrome,480.0,1.553343034
Germany/USA,Civil,Earth Science,LEO,Polar,434.0,451.0,0.00125,93.4,Plesetsk Cosmodrome,480.0,1.553343034
Japan,Civil,Earth Science,LEO,Sun-Synchronous,668.0,670.0,0.00014,98.1,Tanegashima Space Center,1750.0,1.712167996
India,Government,Communications,GEO,,35777.0,35795.0,0.00021,1436.07,Guiana Space Center,3400.0,0.001047198
India,Government,Communications,GEO,,35761.0,35811.0,0.00059,1436.1,Sriharikota Launch Station,1410.0,0.001570796
